"bid";"cate_cd";"title";"content";"tag";"view_cnt";"reg_id";"reg_dt";"edit_dt"
1;"IMSI";"도전";"도전";"tag";33;"admin";"1999-03-23";"1999-03-23"
2;"IMSI";"용기";"<p>용기</p>";"tag";13;"admin";"1999-03-23";"2021-05-28"
3;"IMSI";"열정";"<p>열정</p>";"tag";9;"admin";"1999-03-23";"2021-05-28"
4;"IMSI";"인내";"인내";"tag";2;"admin";"1999-03-23";"1999-03-23"
5;"IMSI";"변화";"변화";"tag";5;"admin";"1999-03-23";"1999-03-23"
6;"IMSI";"헌신";"헌신";"tag";4;"admin";"1999-03-23";"1999-03-23"
7;"IMSI";"충성";"충성";"tag";0;"admin";"1999-03-23";"1999-03-23"
8;"IMSI";"희생";"희생";"tag";3;"admin";"1999-03-23";"1999-03-23"
9;"IMSI";"봉사";"봉사";"tag";3;"admin";"1999-03-23";"1999-03-23"
10;"IMSI";"성실";"성실";"tag";0;"admin";"1999-03-23";"1999-03-23"
11;"IMSI";"전문성";"전문성";"tag";0;"admin";"1999-03-23";"1999-03-23"
12;"IMSI";"창의";"창의";"tag";0;"admin";"1999-03-23";"1999-03-23"
13;"IMSI";"역량";"역량";"tag";0;"admin";"1999-03-23";"1999-03-23"
14;"IMSI";"지식";"지식";"tag";0;"admin";"1999-03-23";"1999-03-23"
15;"IMSI";"탁월";"탁월";"tag";0;"admin";"1999-03-23";"1999-03-23"
16;"IMSI";"팀워크";"팀워크";"tag";0;"admin";"1999-03-23";"1999-03-23"
17;"IMSI";"존중";"존중";"tag";0;"admin";"1999-03-23";"1999-03-23"
18;"IMSI";"신뢰";"신뢰";"tag";0;"admin";"1999-03-23";"1999-03-23"
19;"IMSI";"책임";"책임";"tag";0;"admin";"1999-03-23";"1999-03-23"
20;"IMSI";"화합";"화합";"tag";0;"admin";"1999-03-23";"1999-03-23"
21;"IMSI";"각개전투";"각개전투";"tag";0;"admin";"1999-03-23";"1999-03-23"
22;"IMSI";"실내학과";"실내학과";"tag";0;"admin";"1999-03-23";"1999-03-23"
23;"IMSI";"군인정신";"군인정신";"tag";1;"admin";"1999-03-23";"1999-03-23"
24;"IMSI";"공군사";"공군사";"tag";0;"admin";"1999-03-23";"1999-03-23"
25;"IMSI";"특기";"특기";"tag";0;"admin";"1999-03-23";"1999-03-23"
26;"IMSI";"운항관제";"운항관제";"tag";0;"admin";"1999-03-23";"1999-03-23"
27;"IMSI";"운관";"운관";"tag";0;"admin";"1999-03-23";"1999-03-23"
28;"IMSI";"16110";"16110";"tag";0;"admin";"1999-03-23";"1999-03-23"
29;"IMSI";"항공통제";"항공통제";"tag";0;"admin";"1999-03-23";"1999-03-23"
30;"IMSI";"항통";"항통";"tag";0;"admin";"1999-03-23";"1999-03-23"
31;"IMSI";"17110";"17110";"tag";0;"admin";"1999-03-23";"1999-03-23"
32;"IMSI";"대공포 운용";"대공포 운용";"tag";0;"admin";"1999-03-23";"1999-03-23"
33;"IMSI";"18110";"18110";"tag";0;"admin";"1999-03-23";"1999-03-23"
34;"IMSI";"대공포운용";"대공포운용";"tag";0;"admin";"1999-03-23";"1999-03-23"
35;"IMSI";"중거리유도무기 탐지운용";"중거리유도무기 탐지운용";"tag";0;"admin";"1999-03-23";"1999-03-23"
36;"IMSI";"18210";"18210";"tag";0;"admin";"1999-03-23";"1999-03-23"
37;"IMSI";"중거리유도무기탐지운용";"중거리유도무기탐지운용";"tag";0;"admin";"1999-03-23";"1999-03-23"
38;"IMSI";"중거리유도무기 발사운용";"중거리유도무기 발사운용";"tag";0;"admin";"1999-03-23";"1999-03-23"
39;"IMSI";"18211";"18211";"tag";0;"admin";"1999-03-23";"1999-03-23"
40;"IMSI";"중거리유도무기발사운용";"중거리유도무기발사운용";"tag";0;"admin";"1999-03-23";"1999-03-23"
41;"IMSI";"중거리";"중거리";"tag";0;"admin";"1999-03-23";"1999-03-23"
42;"IMSI";"중거리유도무기 추적운용";"중거리유도무기 추적운용";"tag";0;"admin";"1999-03-23";"1999-03-23"
43;"IMSI";"18212";"18212";"tag";0;"admin";"1999-03-23";"1999-03-23"
44;"IMSI";"중거리유도무기추적운용";"중거리유도무기추적운용";"tag";0;"admin";"1999-03-23";"1999-03-23"
45;"IMSI";"장거리유도 무기운용";"장거리유도 무기운용";"tag";0;"admin";"1999-03-23";"1999-03-23"
46;"IMSI";"18310";"18310";"tag";0;"admin";"1999-03-23";"1999-03-23"
47;"IMSI";"장거리유도무기운용";"장거리유도무기운용";"tag";1;"admin";"1999-03-23";"1999-03-23"
48;"IMSI";"기상관측";"기상관측";"tag";0;"admin";"1999-03-23";"1999-03-23"
49;"IMSI";"25110";"25110";"tag";0;"admin";"1999-03-23";"1999-03-23"
50;"IMSI";"기상";"기상";"tag";0;"admin";"1999-03-23";"1999-03-23"
51;"IMSI";"청보체계관리";"청보체계관리";"tag";0;"admin";"1999-03-23";"1999-03-23"
52;"IMSI";"30010";"30010";"tag";0;"admin";"1999-03-23";"1999-03-23"
53;"IMSI";"지상레이더체계정비";"지상레이더체계정비";"tag";0;"admin";"1999-03-23";"1999-03-23"
54;"IMSI";"30210";"30210";"tag";0;"admin";"1999-03-23";"1999-03-23"
55;"IMSI";"레이더";"레이더";"tag";0;"admin";"1999-03-23";"1999-03-23"
56;"IMSI";"무선통신체계정비";"무선통신체계정비";"tag";0;"admin";"1999-03-23";"1999-03-23"
57;"IMSI";"30410";"30410";"tag";0;"admin";"1999-03-23";"1999-03-23"
58;"IMSI";"무선";"무선";"tag";0;"admin";"1999-03-23";"1999-03-23"
59;"IMSI";"전술항공통신체계정비";"전술항공통신체계정비";"tag";0;"admin";"1999-03-23";"1999-03-23"
60;"IMSI";"30710";"30710";"tag";0;"admin";"1999-03-23";"1999-03-23"
61;"IMSI";"유선통신체계정비";"유선통신체계정비";"tag";0;"admin";"1999-03-23";"1999-03-23"
62;"IMSI";"30810";"30810";"tag";0;"admin";"1999-03-23";"1999-03-23"
63;"IMSI";"유선";"유선";"tag";0;"admin";"1999-03-23";"1999-03-23"
64;"IMSI";"항공전자장비정비";"항공전자장비정비";"tag";0;"admin";"1999-03-23";"1999-03-23"
65;"IMSI";"40110";"40110";"tag";0;"admin";"1999-03-23";"1999-03-23"
66;"IMSI";"항전";"항전";"tag";0;"admin";"1999-03-23";"1999-03-23"
67;"IMSI";"항공기 유압전기정비";"항공기 유압전기정비";"tag";0;"admin";"1999-03-23";"1999-03-23"
68;"IMSI";"40810";"40810";"tag";0;"admin";"1999-03-23";"1999-03-23"
69;"IMSI";"항공기유압전기정비";"항공기유압전기정비";"tag";0;"admin";"1999-03-23";"1999-03-23"
70;"IMSI";"유압";"유압";"tag";0;"admin";"1999-03-23";"1999-03-23"
71;"IMSI";"항공기 지상장비정비";"항공기 지상장비정비";"tag";0;"admin";"1999-03-23";"1999-03-23"
72;"IMSI";"41110";"41110";"tag";0;"admin";"1999-03-23";"1999-03-23"
73;"IMSI";"항공기지상장비정비";"항공기지상장비정비";"tag";0;"admin";"1999-03-23";"1999-03-23"
74;"IMSI";"항공기 기체정비";"항공기 기체정비";"tag";0;"admin";"1999-03-23";"1999-03-23"
75;"IMSI";"41310";"41310";"tag";0;"admin";"1999-03-23";"1999-03-23"
76;"IMSI";"항공기기체정비";"항공기기체정비";"tag";0;"admin";"1999-03-23";"1999-03-23"
77;"IMSI";"항공장구정비";"항공장구정비";"tag";0;"admin";"1999-03-23";"1999-03-23"
78;"IMSI";"41310(장구)";"41310(장구)";"tag";0;"admin";"1999-03-23";"1999-03-23"
79;"IMSI";"장구";"장구";"tag";0;"admin";"1999-03-23";"1999-03-23"
80;"IMSI";"항공기 기관정비";"항공기 기관정비";"tag";0;"admin";"1999-03-23";"1999-03-23"
81;"IMSI";"41410";"41410";"tag";0;"admin";"1999-03-23";"1999-03-23"
82;"IMSI";"항공기기관정비";"항공기기관정비";"tag";0;"admin";"1999-03-23";"1999-03-23"
83;"IMSI";"기관";"기관";"tag";0;"admin";"1999-03-23";"1999-03-23"
84;"IMSI";"항공기 무기정비";"항공기 무기정비";"tag";0;"admin";"1999-03-23";"1999-03-23"
85;"IMSI";"41610";"41610";"tag";0;"admin";"1999-03-23";"1999-03-23"
86;"IMSI";"항공기무기정비";"항공기무기정비";"tag";0;"admin";"1999-03-23";"1999-03-23"
87;"IMSI";"무기";"무기";"tag";0;"admin";"1999-03-23";"1999-03-23"
88;"IMSI";"항공 탄약정비";"항공 탄약정비";"tag";0;"admin";"1999-03-23";"1999-03-23"
89;"IMSI";"41710";"41710";"tag";0;"admin";"1999-03-23";"1999-03-23"
90;"IMSI";"항공탄약정비";"항공탄약정비";"tag";0;"admin";"1999-03-23";"1999-03-23"
91;"IMSI";"탄약";"탄약";"tag";0;"admin";"1999-03-23";"1999-03-23"
92;"IMSI";"항공기 제작정비";"항공기 제작정비";"tag";0;"admin";"1999-03-23";"1999-03-23"
93;"IMSI";"41810";"41810";"tag";0;"admin";"1999-03-23";"1999-03-23"
